[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Starting the start of the month billing issue workaround script. [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 206 to 7967 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 391 to 22829 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 254 to 7967 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 438 to 11202 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 142 to 8281 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 376 to 20984 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 439 to 10200 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 385 to 18212 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 454 to 10970 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 474 to 8356 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 389 to 22311 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 148 to 10837 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1204 to 4538 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 877 to 8356 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 650 to 10837 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 381 to 14591 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 227 to 10698 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 416 to 9959 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 972 to 6843 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 145 to 14548 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 490 to 9251 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 496 to 5872 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 144 to 6056 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1051 to 5872 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 965 to 3882 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 213 to 6056 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 431 to 14612 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 380 to 9382 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 432 to 7826 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 273 to 17963 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 379 to 12898 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 207 to 19062 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 504 to 5706 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 138 to 14492 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 502 to 18615 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 139 to 8698 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 383 to 9508 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 481 to 8508 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 234 to 8698 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 450 to 8698 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 482 to 9348 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 492 to 8698 [] []
