[2020-12-15 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2090,"balance":26.976} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":1,"balance":10.889132824123} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":1573,"balance":31.2279075} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":1581,"balance":35} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":2066,"balance":24.9996385} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":2249,"balance":25} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":2420,"balance":25.5} []
[2020-12-15 06:00:15] Shut off reset log.INFO: Shut off reset {"customer_id":2446,"balance":24.189465799149} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2498,"balance":49.486080748715} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2513,"balance":25} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2516,"balance":49.400493733451} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2517,"balance":24.327949154559} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2518,"balance":24.977560712778} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2525,"balance":24.94181671544} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2550,"balance":25} []
[2020-12-15 06:00:16] Shut off reset log.INFO: Shut off reset {"customer_id":2585,"balance":25} []
[2020-12-15 06:00:17] Shut off reset log.INFO: Shut off reset {"customer_id":2658,"balance":24.886413519421} []
[2020-12-15 06:00:17] Shut off reset log.INFO: Shut off reset {"customer_id":820,"balance":20.974} []
[2020-12-15 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":2711,"balance":9.12} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":1,"balance":10.889132824123} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":1573,"balance":31.2279075} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":1581,"balance":35} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2066,"balance":24.9996385} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2249,"balance":25} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2420,"balance":25.5} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2446,"balance":24.189465799149} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2498,"balance":49.486080748715} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2513,"balance":25} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2516,"balance":49.400493733451} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2517,"balance":24.327949154559} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2518,"balance":24.977560712778} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2525,"balance":24.94181671544} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2550,"balance":25} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2585,"balance":25} []
[2020-12-15 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2658,"balance":24.886413519421} []
