[2019-12-16 00:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":92,"balance":24.837325} []
[2019-12-16 00:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":327,"balance":102.49} []
[2019-12-16 00:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2019-12-16 00:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6059,"balance":19.465} []
[2019-12-16 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2019-12-16 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2019-12-16 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6087,"balance":16.77} []
[2019-12-16 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6097,"balance":16.83} []
[2019-12-16 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6101,"balance":8.63} []
[2019-12-16 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2019-12-16 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6059,"balance":19.465} []
[2019-12-16 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2019-12-16 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2019-12-16 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6087,"balance":16.77} []
[2019-12-16 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6097,"balance":16.83} []
[2019-12-16 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6101,"balance":8.63} []
[2019-12-16 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6133,"balance":15.485} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6059,"balance":19.465} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6087,"balance":16.77} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6097,"balance":16.83} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6101,"balance":8.63} []
[2019-12-16 12:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6133,"balance":15.485} []
[2019-12-16 18:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2019-12-16 18:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2019-12-16 18:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2019-12-16 18:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6087,"balance":16.77} []
[2019-12-16 18:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6133,"balance":15.485} []
