[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":1,"balance":12} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":1573,"balance":31.2279075} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":1581,"balance":35} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":2066,"balance":25} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6042,"balance":14.4659} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6076,"balance":10.105} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6087,"balance":16.77} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6088,"balance":30.44} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6097,"balance":16.83} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6190,"balance":11.315} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6149,"balance":12.52} []
[2020-02-19 00:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6218,"balance":11.5} []
[2020-02-19 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2020-02-19 06:00:11] Shut off reset log.INFO: Shut off reset {"customer_id":6042,"balance":14.4659} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6076,"balance":10.105} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6087,"balance":16.77} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6088,"balance":30.44} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6097,"balance":16.83} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6190,"balance":11.315} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6149,"balance":12.52} []
[2020-02-19 06:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6218,"balance":11.5} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6014,"balance":13.4665} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6042,"balance":14.4659} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6076,"balance":10.105} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6088,"balance":30.44} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6097,"balance":16.83} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6190,"balance":11.315} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6149,"balance":12.52} []
[2020-02-19 12:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6218,"balance":11.5} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6014,"balance":13.4665} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6016,"balance":18.2144} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6029,"balance":7.9137} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6068,"balance":11.225} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":734,"balance":13.755} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6080,"balance":6.49} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6088,"balance":30.44} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6190,"balance":11.315} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6149,"balance":12.52} []
[2020-02-19 18:00:12] Shut off reset log.INFO: Shut off reset {"customer_id":6218,"balance":11.5} []
